"Date","Price","Open","High","Low","Vol.","Change %"
"03/22/2024","2,910.05","2,899.95","2,920.00","2,894.70","9.76M","0.28%"
"03/21/2024","2,901.95","2,905.05","2,915.80","2,889.35","6.50M","0.50%"
"03/20/2024","2,887.50","2,855.90","2,890.00","2,848.05","4.24M","1.30%"
"03/19/2024","2,850.50","2,857.50","2,875.20","2,834.50","4.14M","-0.99%"
"03/18/2024","2,878.95","2,840.00","2,883.45","2,833.05","4.58M","1.50%"
"03/15/2024","2,836.45","2,851.90","2,866.45","2,825.80","9.61M","-0.93%"
"03/14/2024","2,862.95","2,879.40","2,897.05","2,851.00","9.29M","-0.05%"
"03/13/2024","2,864.35","2,959.55","2,966.20","2,855.55","6.76M","-2.93%"
"03/12/2024","2,950.85","2,933.20","2,976.00","2,930.05","4.72M","0.60%"
"03/11/2024","2,933.20","2,978.00","2,978.00","2,927.00","5.64M","-0.83%"
"03/07/2024","2,957.85","3,005.95","3,006.20","2,951.10","4.16M","-1.60%"
"03/06/2024","3,006.00","2,986.90","3,018.00","2,957.00","3.90M","0.19%"
"03/05/2024","3,000.40","3,011.55","3,014.80","2,972.10","3.55M","-0.48%"
"03/04/2024","3,014.80","2,980.95","3,024.90","2,974.45","5.01M","1.17%"
"03/02/2024","2,980.00","2,979.00","3,000.50","2,976.25","356.21K","-0.14%"
"03/01/2024","2,984.25","2,927.00","3,000.00","2,925.00","6.07M","2.14%"
"02/29/2024","2,921.60","2,930.00","2,957.95","2,909.05","11.81M","0.36%"
"02/28/2024","2,911.25","2,966.00","2,982.55","2,900.35","4.32M","-2.02%"
"02/27/2024","2,971.30","2,966.05","2,999.90","2,956.10","5.41M","-0.11%"
"02/26/2024","2,974.65","2,987.10","2,989.05","2,965.00","3.76M","-0.42%"
"02/23/2024","2,987.25","2,979.00","2,995.10","2,966.70","7.22M","0.80%"
"02/22/2024","2,963.50","2,936.30","2,969.90","2,916.00","9.25M","0.96%"
"02/21/2024","2,935.40","2,948.00","2,977.05","2,915.10","6.36M","-0.23%"
"02/20/2024","2,942.05","2,950.05","2,951.00","2,923.60","3.56M","-0.20%"
"02/19/2024","2,948.00","2,924.10","2,959.00","2,907.05","3.36M","0.92%"
"02/16/2024","2,921.15","2,952.95","2,954.00","2,917.10","4.88M","-0.68%"
"02/15/2024","2,941.20","2,966.70","2,969.45","2,933.05","5.00M","-0.73%"
"02/14/2024","2,962.75","2,915.00","2,967.30","2,915.00","3.56M","1.11%"
